"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
2019,"C14",0.53,0.76,0.76,0.86,0.8,0.9,0,0,0.84,0.95,0,0
2020,"C14",0.35,0.61,0.37,0.53,0.39,0.5,0,1,0.78,1,0,0.1
2021,"C14",0.4,0.69,0.54,0.75,0.57,0.78,0,0,0.87,1.2,0,0
2008,"C15",0.03,0.17,0.06,0.35,0.07,0.36,0,0.29,0.09,0.5,0,0.15
2009,"C15",0.06,0.21,0.1,0.31,0.11,0.32,0,0.25,0.18,0.5,0,0.09
2010,"C15",0.12,0.26,0.22,0.36,0.21,0.31,0.22,0.56,0.27,0.41,0.12,0.31
2011,"C15",0.18,0.39,0.31,0.51,0.27,0.49,0.8,0.8,0.45,0.83,0.18,0.18
2012,"C15",0.21,0.45,0.22,0.48,0.22,0.49,0.12,0.38,0.33,0.72,0.03,0.1
2013,"C15",0.19,0.38,0.25,0.47,0.25,0.49,0.3,0.3,0.33,0.64,0.1,0.1
2014,"C15",0.33,0.56,0.36,0.56,0.36,0.55,0.33,0.67,0.53,0.81,0.03,0.07
2015,"C15",0.23,0.49,0.29,0.52,0.3,0.51,0.14,0.57,0.43,0.75,0.03,0.12
2016,"C15",0.35,0.53,0.37,0.56,0.33,0.53,0.67,0.78,0.43,0.69,0.21,0.24
2017,"C15",0.32,0.61,0.37,0.68,0.4,0.69,0.1,0.6,0.57,0.97,0.03,0.17
2018,"C15",0.31,0.61,0.32,0.63,0.31,0.62,0.38,0.62,0.46,0.92,0.08,0.13
2019,"C15",0.35,0.64,0.43,0.69,0.44,0.71,0.33,0.5,0.62,1,0.07,0.11
2020,"C15",0.36,0.61,0.41,0.67,0.38,0.65,0.86,1,0.56,0.96,0.16,0.19
2021,"C15",0.3,0.54,0.44,0.69,0.47,0.71,0.14,0.43,0.71,1.07,0.03,0.08
2008,"C16",0,0.25,0,0.33,0,0.33,NA,NA,0,0.5,0,0
2009,"C16",0.14,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"C16",0.25,0.5,1,1,1,1,NA,NA,Inf,Inf,0,0
2011,"C16",0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"C16",0.25,0.62,0.5,1,0.5,1,NA,NA,1,2,0,0
2013,"C16",0.18,0.36,0.2,0.4,0.2,0.4,NA,NA,0.25,0.5,0,0
2014,"C16",0.21,0.58,0.2,0.4,0.2,0.4,NA,NA,0.25,0.5,0,0
2015,"C16",0.18,0.45,0,0,0,0,NA,NA,0,0,NA,NA
2016,"C16",0.46,0.69,0.5,0.5,0.5,0.5,NA,NA,0.75,0.75,0,0
2017,"C16",0.08,0.33,0.33,0.67,0.5,1,0,0,1,2,0,0
2018,"C16",0.33,0.67,0.33,0.33,0,0,1,1,0,0,0.5,0.5
2019,"C16",0.1,0.8,0,0.8,0,0.8,NA,NA,0,0.8,NA,NA
2020,"C16",0.27,0.47,0.38,0.5,0.38,0.5,NA,NA,0.6,0.8,0,0
2021,"C16",0.29,0.5,1,1,1,1,1,1,0.5,0.5,Inf,Inf
2008,"C17",0.07,0.25,0.12,0.37,0.14,0.34,0,0.5,0.18,0.45,0,0.26
2009,"C17",0.07,0.21,0.14,0.36,0.11,0.36,0.5,0.5,0.19,0.6,0.1,0.1
2010,"C17",0.12,0.26,0.22,0.4,0.23,0.42,0,0,0.59,1.09,0,0
2011,"C17",0.17,0.4,0.19,0.44,0.21,0.44,0,0.4,0.31,0.65,0,0.09
2012,"C17",0.2,0.43,0.19,0.48,0.2,0.51,0,0.25,0.3,0.75,0,0.05
2013,"C17",0.17,0.42,0.25,0.48,0.25,0.47,0,0.67,0.39,0.74,0,0.08
2014,"C17",0.28,0.53,0.38,0.63,0.38,0.62,0.56,0.67,0.52,0.86,0.17,0.2
2015,"C17",0.2,0.41,0.28,0.45,0.25,0.42,0.67,0.83,0.4,0.67,0.14,0.17
2016,"C17",0.25,0.44,0.4,0.62,0.42,0.64,0.33,0.56,0.48,0.74,0.25,0.42
